ITA,BS,CATEGORY
comitiva,rosöl,
commozione,bizigamènt de stòmëch,
commuoversi,comuvìs,
comodino,cifù,francesismo
comodino,cumunsì,
comodo,aziàt,arcaico
compagnia,bàtera,
compagnia di facinorosi,ghènga,
companatico,tröz,arcaico
companatico,trözöl,arcaico
companatico,taöl,
compenso,scòt,
compenso al mandriano,mèza pàga,
comperare a credito,crompà a stòch,
competizione,ràfa,arcaico
compito,pèns,arcaico
comportarsi,deportàs,
compressore stradale,calcagéra,arcaico
compressore stradale,schisasàs,
compromesso oneroso,calabràghe,
comune,comü,
concavità,pòfa,arcaico
concedersi,concidìs,
conceria,pelaterìa,
concia,cónsa,
concia delle pelli,confetòria,arcaico
conciapelli,pelatér,
conciare,consà,
conciatetti,requatì,
conciatore,consadùr,arcaico
concilio,consèi,arcaico
concimare,dà la gràsa,
concimare,lödamà,
concimare,ënlödamà,
concludere,tràër,
conclusione,coströt,
condilo del femore,bàla del galù,anatomia
condimento,redamént,arcaico
condire,consà,
condire,redà,arcaico
condotto,condöt,
condotto uditivo,büs de le orècie,
condurre,menà,
confezionatrice di tomaie,zontöra,
confondere,sconfónder,
confondersi,pèrdër la scréma,arcaico
confusione,bacanì,
confusione,bodès,arcaico
confusione,borlànda,
confusione,buriàna,
confusione,casòt,
confusione,demenére,
confusione,fèra,figurativo
confusione,mismàs,
confusione,pastociàda,
confusione,rebelòt,
confusione,trebölére,
confusione,vitüpére,figurativo
congelatore,frìzër,
congiuntivite,orbéra,malattia/male
coniglia,conécia,
coniglio,conécc,
conservare,guarnà,arcaico
considerazione (in),de cönt,
consigli,consèi,arcaico
consolida maggiore,anegàl,botanica
consolida maggiore,negàl,botanica
consumare,smajà,
consumarsi,fröstàs,
consumato,slisàt,
conta,cönta,
conta frottole,balunér,
contaballe,balòta,
contadinaccio,ultapiò,
contadino,vilànch,arcaico
contadino a contratto,cordàt,
contadino a contratto,obligàt,
contare,cöntà,
contare,rönà,arcaico
contare i punti,rönà i póncc,
contendere,sbatajà,
contendere,scombàtër,
contenitore del gelato,sorbetéra,
contentino,contintì,
contentissimo,stracontènt,
contesa di parole,sbatajàda,
continuare,segötà,
continuo bisogno d'orinare,pisaröla,
conto,cönt,
contrabbandiere,spalù,
contrabbasso,àca,musica
contrabbasso,vacù,musica
contraccolpo del piede in fallo,starosàda,
contrappeso della stadera,mas,
contrappeso della stadera,màs'cc,
contrassegno dei polli,balsèta,
contrassegno dei polli,calsèta,
contrazione,réma,arcaico
contro,cóntra,
controgirello (taglio di carne bovina),poscül,
controllo della controparte,dìghën,
controluce,controlöm,
contusione,sobatidüra,
convivente,malmaridàda,figurativo
convulsioni,mal del catèr,malattia/male
coperchio,coèrcc,
coperchio di legno,taèl,arcaico
coperta,coérta,
copertina,coertìna,
coperto,coèrt,
coperto,quarciàt,
copertone,coertù,
copertura,coertöm,
copista,scritùr,arcaico
coppa,cópa,
coppetta per salasso,spinaventùsa,
"copricatena, riparo",càrtër,
coprire le brace con cenere,ënmagunà,
coprire le brace con cenere,mazà,
coprire le brace con cenere,mazerà,
coprispalle,mantilìna,
coralli,corài,
corata,coràda,
coratella,figadèl,
corbelleria,büzéra,
corbellone,gabiòt del patös,
corbezzolo,corbèsol,botanica
corda,andighér,arcaico
corda (quarta) della chitarra,sotcórda,
corda del garretto,cordù de la gàmba,
corda della campana,manésa de la campàna,
corda di fili d'acciaio,cordìna,
corda per fascine,sùël,arcaico
cordaio,cordér,
cordialità,cerùna (magg.di bella cera),
cordicella per seminare dritto,filàgna,
cordiglio,cordù del fra,
cordoncino,curdunsì,
cordone,cordù,
cordone ombelicale,cordù del bìgol,
coriandolo,benìs,arcaico
coriandolo,coriàndol,botanica
"corimbo, coccole dell'edera",ciòca de ligabósch,botanica
cormorano,cornìza négra,ornitologia
corna,córëgn,
corna (fare le corna),scornacià,
corna grosse,cornaciù,
cornacchia,cornàcc,ornitologia
cornacchia,gróla,ornitologia
cornacchia,gröla,ornitologia
cornacchia grigia,cornàcia senerìna,ornitologia
cornacchia grigia,gröla grìza,ornitologia
cornacchia grigia,gàza bajaröla,ornitologia
cornacchia grigia,gröla grìza,ornitologia
cornamusa,baghèt,
cornamusa,pìa,
cornamusa,piìda,
cornata,tröcàda,
cornetti,cornazèi,botanica
cornetto,cornacì,
"cornice da altare, intagliata",soàza,arcaico
"corniole, frutti del corniolo",cornài,
corniolo,cornàl,botanica
corno,bèch,figurativo
corno dell'abbondanza,trombèta de mórt,micologia
corona,cùra,
coronilla,majalégor,botanica
corpetto,bustènga,arcaico
corpetto,büstina,
corpetto,cotì,arcaico
corpetto,peturìna,
corpo vitreo dell'occhio,balòta de l'öcc,
corredo,dòta,
corredo,schìrpa,arcaico
correggersi,mendàs,
correggia per fissare il giogo,ambréna,arcaico
correggia per le corna dei buoi,cornadüra,
correggia per le corna dei buoi,zùtula,
correggiola (sottile legaccio del cuoio),corgiöla,arcaico
correggiola (sottile legaccio del cuoio),corzöla,
correggiola (sottile legaccio del cuoio),sùga,
correggiola o centinodia,èrba córda,botanica
correggiola o centinodia,scorezöla,botanica
corrente,corènt,
correre velocemente,pistà,
correre velocemente,rolà,
corriere,ciurlì del Mèla,ornitologia
corriere,cülbiànc,ornitologia
corriere,pivierì,ornitologia
corriere,coriér,
corrimano,mantegnaröla,
corrimano,pasamà,
corrione biondo,curiù,ornitologia
corrrere,córër,
corrucciarsi,strösiàs,
corsa,coréra,
corsetto,corpasì,
corsia tra i filari,antù,
"corte, cortile",cùrt,
corteccia,scórsa,
corteggiamento,mosegnà,
corteggiare,ronzà 'ntùrën,
cortello da bottaio,cortèl a du mànëch,
cortile,éra,
cortile,löch,
cortinario prestante,barbù néghër,micologia
cortinario prestante,öcc de bò,micologia
corto,cürt,
corvo,còrv,ornitologia
corvo,gróla,ornitologia
corvo imperiale,còrv gròs,ornitologia
corvo imperiale,grölacorvàgna,ornitologia
corvo imperiale,corvàs,ornitologia
cosa a metà,mèza egògna,
cosa attorcigliata,torciù,
cosa di poco conto,ciaì,
cosa fatta male,barbajàda,
cosa introvabile,lat de galìna,
cosa inutile,tananài,
cosa inutile,tàtër,
cosa inutile,zabajòt,
cosa voluminosa,felfére,
"cosa, coso","laùra, laùr",
coscia,galù,
coscia staccata di macellazione,cosèt,
coscrizione militare obbligatoria,léa,
cosette,laursì,
così,isé,
"costiera, riviera",pëdëmónt,
costipato,ënsaràt,
costipazione,ënsaramènt,
costola,còsta,
costole di bietola,èrbe,
costrutto,coströt,
costume da bagno,braghì de bàgn,
costume da bagno,costüm,
costura,ribatidüra,
cote (pietra per affilare),cut,
cote (pietra per affilare),prèda de dàga 'l fìl,
cotechino,cudighì,
cotone,cotù,
cotone grossolano,bombàs,
cottimo,a bòt,
cotto (superlativo di cotto),còt smagòt,
coturnice,cotùrna,ornitologia
covare,cuà,
covata,cûàda,
covone,cöa,
covone,cöv,
covoni di miglio,medàsche,
crampo,gànf,
cranio,scödelòt del có,
cranio,cràpa,arcaico
cranio,gràpa,anatomia
credenza (parte superiore della credenza),alsàda,
"credenza, porta stoviglie",bofé,francesismo
credito (aver credito),ansà,
credulone,naù,figurativo
credulone,bólo,arcaico
cremagliera,grimaliéra,meccanica
crepacuore,crepacör,
crepacuore,stricacör,
crepapelle,crepapànsa,
"crepato, fesso",s'cèp,
crepitare,s'ciopezà,
crescere,crèsër,
crescione,garsù,botanica
cresciuta,crisìda,
cresciuto inutilmente,grànd e s'ciào,
cresima,crésma,
cresimare,cresmà,
crespignolo amaro,pàpol,botanica
crespignolo amaro,raizìne,botanica
crespino,corài,botanica
crespino,corài de la Madóna,botanica
crespino,gazül,botanica
crespolina,tìmo,botanica
crespolina,tìmo giaponés,botanica
cresta,grèsta,
cresta di gallo,brüzaröi,botanica
cresta sulla spesa,scamunì,
cretinata,stronsàda,
"cricchiare, scricchiolare, scrocchiare",scricà,
"crine del cavallo, criniera",cóma,arcaico
crine vegetale,eléna,
criniera,créna,
crisalide del baco,bigàt,
crivellare,creelà,
crivello,creèl,
crivello piccolo,criilì,
crocchia di capelli,cocócc,
crocchia di capelli,cocógn,
crocchia di capelli,signù,arcaico
crocchio,rosöl,
crocchio,bòsol,arcaico
crocchio,cucù,
crocchio,ròs,
crocchio,rosàda,
crocchio,sincù,
croccolone,becadù,ornitologia
croccolone,becadilù,ornitologia
croccolone,becàsa,ornitologia
croccolone,sgnepù,ornitologia
croce,crùs,
croce grande,cruzù,
crocevia,cruzàl,
crocevia,quatërvià,
"crociera, cosa messa a croce",cruzéra,
crociere,bèch en crùs,ornitologia
crociere,bèch stórt,ornitologia
croco o zafferano selvatico,àsfor,botanica
"crogiolare, cuocere lentamente",paparà,arcaico
crogiolo,copèla,
crogiolo,crozöl,
crollare,crödà,
"crollo, voce onomatopeica",patatràch,
croste della polenta,scalitì,
cruccio,crüsio,
cruccio,crùsio,
cruccio,strùsio,
cruciare,ströscià,
crudele,crüd,
crudo,crüd,
cruna,büs de la ùcia,
crusca,biösma,arcaico
crusca,crösca,
crusca,farinèl,
cubo,cübo,
cucchiaia (at) del cannoniere,sésola,arcaico
cucchiaiata,cüguanàda,
cucchiaino,cügianì,
cucchiaio,cügià,
cuccia,balì,
cuccia,cùcio,
cuccia,macc,
cuccia,màcio,
cuccia,nàcio,
cuccia,quàcc,
cucciolo,rapatì,
cuccuma,cógoma,
cucina,cuzìna,
cucinare,scuzinà,
cucinare grossolanamente,bojacà,
cucinatura (tipo di cucinatura),scoqiamdò,arcaico
cucire,cùzër,
cucire a punto fitto,ëngazinà,
cucito,cuzìt,
cucitura,cozidüra,
cuculo,cöch,ornitologia
cuculo,cucù,ornitologia
cuculo dal ciuffo,cùco,ornitologia
cuculo dal ciuffo,cüch,ornitologia
cucuzza,cucùcia,
cuffia,scöfia,
cugina,cüzìna,
cugino,cüzì,
culbianco,ganaöla,ornitologia
culla,cüna,
cullare,ninà,
culmo,calisù,
culo,bòficë,
culo,cül,
culo,fiurù,
culo,furù,
culo,órghën,
culo,patilù,gergo-volgare
"cultro, lama del vomero",cùltra,
cumino,comì,botanica
cuneo,cóne,
cuoca,cóga,
cuocere,cözër,
cuoco,cöch,
cuoco,cógo,
cuoio,cüràm,
cuoio capelluto,pèl delm có,
cuore,cör,
cuore pieno di tristezza,magù pié,
cuoricino,cürizì,
curare,cürà,
curatore,cüradùr,
curiosare,napà,
curiosare,scuriusà,
curiosone,napù,
curiosone,scuriusù,
"curva, china",ëngobàda,
cuscinetto di bronzo,bùcola,meccanica
cuscinetto di bronzo,sprès,arcaico
cuscinetto per aghi,portaùce,
cuscino,cusì,
cuscuta epitimo,gröm,botanica
custode,casànt,
custodire,aràga dré,
"cute, cotenna",codèga,
cutrettola,balarìna,ornitologia
cutrettola,boarì,ornitologia
cutrettola,nostrà,ornitologia
cutrettola,boarìna,ornitologia
cutrettola,buasì,ornitologia
cutrettola,crozì,ornitologia
cutrettola,pasaclì,ornitologia
cutrettola,pastürèla,ornitologia
cutrettola,spasaclì,ornitologia
cutrettola,squasacül,ornitologia
cutrettola,squasacûì,ornitologia
dado a farfalla,galèl,
dado a farfalla,galèt,
dado tondo filettato,rulì,meccanica
daffare,defà,
damaschina,dalmaschìna,
damigella di Numidia,damigèla,ornitologia
damigiana,busù,
damigianina,busunsì,
danza del Monferrato,monfrìna,
dappertutto,depertöt,
"dappoco, fannullone",pelabròch,
dare,dà,
dare o togliere il catenaccio,scadenasà,
"darsi da fare, affaccendarsi",bodesà,
"darsi da fare, affaccendarsi",mesedàs,
"darsi da fare, affaccendarsi",trabascà,
darsi importanza,mitìla zò düra,
"data, donata",dàda,
davanti,denàcc,
davanzale,préda de la finèstra,
davanzale,sotàna de la finéstra,
davvero,delbù,
dazio,dàse,
dazio,gabèla,
debito,dèbët,arcaico
debito,dèbit,
debole,cagaròt,
"debole, appannato",marèl,
decalogo dei comandamenti,quantiequài,arcaico
decapitare,tajà vià 'l có,
decimetro,dés ghèi,
decrepita,carampàna,
decrepita,vècia rampàna,
decrepito,carampàt,
defecare,cagà,
defecare,nà de còrp,
defecare delle mucche,sboasà,
defecare vermi,paì,
defunto,pòër,
delatore,cüsaröl,
delatore,riportadùr,
delatore,trumbù,figurativo
delusione,pìe nel sàch,
democristiano,pìsto,
demonietto,farfarèl,
demonio,baràbio,
demonio,barzìgola,
demoralizzato,zò dei bàghër,
denigrare,bötà zò,figurativo
denso,spès,
dentaria pennata,dentanèla,botanica
dente,dènt,
dente,dét,arcaico
dente cariato,dènt carolét,
dente da latte delle mucche,dènt de la pàga,
dente di leone ispido,sgrégne,botanica
dente spuntato sopra un altro,süërdènt,
dentellato,sbecolàt,
"dentello, ricamo",capèta,
denti molari,ganasài,
denti sporgenti,dèncc grömér,
dentiera,ganasèra,
dentista,caadèncc,arcaico
dentro,dènt,arcaico
dentro,dét,arcaico
dentro,dèntër,
dentro,détër,
denudare,nüdà,
denudare,snüdà,
denutrito,majamìgole,figurativo
deporre,mètër zò,
deschetto,menèla,
desiderare,mètër j-öcc adòs,figurativo
desinare,disnà,
destro,dèstër,
detta,dìda,
dettaglio,detài,
deviare,nà a treèrs,
devoto,debé,
devoto (superlativo di devoto),stradeót,
devozione,diusiù,
"devozioni, amuleti votivi",pasoénse,arcaico
di getto,sbötàda,
di già,za bèla,
di già,zamò,
di meno,demànch,arcaico
di nascosto,de niscùs,
di poi,depò,
di sfuggita,de scapàda,
di sopra,de sùra,
di traverso,de traèrs,
diamine!,diàmbër,
diamo,dóm,
diarrea,cagarèla,
diarrea,corènt,
diarrea,coréra,
diarrea,schitaröla,
diarrea (che ha diarrea),schitù,
diavoleria,diaolére,
diavolo v. demonio,berlìchete,
dice / dicono,dìs,
dicembre,deèmbër,
dicembrina,dizembrìna,
dicembrino,dezembrì,
dicioccare il fogliame,smasolà,
dico,dìch,
dieci,dés,
dietro,apös,arcaico
dietro,dré,
dietro,rè,arcaico
dietro,püs,
dietro (da dietro),da püs,arcaico
difeso da tramontana,recòst,arcaico
difetto,pèca,
difficoltà,bèga,figurativo
difficoltoso,malfà,
diffidare,sta sö la so,figurativo
"diffilato, dritto",de tìr,
difterite,mal del grùp,malattia/male
digitale gialla,didài,botanica
digitale gialla,didalìne,botanica
digitale gialla,fiùr de diàol,botanica
digiuno,düzü,
digrignare,scrizà,
digrignare,sgrinzignà,
digrignare,sgrizolà,
diguazzare,saazà,arcaico
dilavare,slaà zó,
dilavare,slatügà,
dilombato,smombolàt,
dimagrire,smagrì,
dimenarsi,remenàs,
dimenticare,dismentegà,
dimenticare,discordà,arcaico
dimenticare,mitìga sö 'na pèsa,figurativo
dinoccolato,slenàt,
dipanare,disbrojà,
dipanatore di lino,spinàrd,
diradare,srarì,
dire baggianate,frapà,arcaico
dire il vero,svigliacà,
direttissimo,drit dritèn,
"dirgliene, contestare",dìghën,
dirimpetto,en mìra,
dirupo,carèbe,
disagio,destèpe,
disastro,sfracél,
disboscamento,tajàda,
disboscare,svegrà,arcaico
disboscare,tajà 'l mut,
"discartare, scartare",destorcà,
"dischiodare, schiodare",disc'ciodà,
"dischiodare, schiodare",disbrocà,
disciplina,disiplìna,
disdetta,arlìa,arcaico
"disfantare, sciogliere",desfantà,
"disformare, deformare",discreà,
disgrazia,borìda,
disintancare,descantà,arcaico
disintancare,desgagià,
disintancare,desmagà,arcaico
disinteressarsi del resto,fa 'l sàntus,figurativo
disinvolto,zàgo,
disinvoltura,sghèo,
disordinato,zabajòt,
dispari,dìspër,
disperdere,samarà,
dispettoso,dispiazènt,
dissenteria,cagòt,
dissenteria,mòsa de còrp,
dissenteria,sbènza,
dissenteria,sbrenzarèla,
dissenteria,sciòlta,arcaico
dissetare,caà la sét,
dissimulare,fa finta de gnènt,
dissoluto,sfondràt,
distinguersi,distinguìs,
distogliere,distòër,
distrarsi,svariàs,
distratto,sterlöch,
distrazione muscolare,sforsàda,
distrazione muscolare,strasfórs,
districare,disgarbià,
disturbare,dizavià,
disturbare,rügà,
disturbo,destépe,
disuguale,malenguàl,
ditale,didàl,
ditino,didì,
dito,dìt,
dito anulare,sposalì,"daddolo, smanceria"
dito medio,màta lónga,"daddolo, smanceria"
ditola,didéla,micologia
ditola,dìdola,micologia
ditola,manìne,micologia
dittamo bianco o frassinella,fiùr de limù,botanica
dittamo bianco o frassinella,frasinèla,botanica
dittamo bianco o frassinella,limunèla,botanica
dittamo bianco o frassinella,oèsa,botanica
diurno,del dé,
divano,canapé,francesismo
divano,otomàna,
divano,sofà,
"divaricare, svellere",sgalà,
divaricato,sgalàt,
diventare,deentà,
diverbio,divèrbe,
divezzare,dislatà,
dividere,spàrtër,
"dividere, far da paciere",scompàrtër,
dividersi,spartìs,
divisione dell'eredità,spartisiù,
diviso,spartìt,
divorziare,spartìs,
doga,dùa,
doga del mastello col buco,orecéra,
doga più lunga (la),orècia de sòi,
"doglia, afflizione",dòja,
doglie,spìnte,
dolce,bumbù,"daddolo, smanceria"
dolce,dóls,
dolce casalingo,scaletì,arcaico
dolce casalingo,scalitì,
dolce fatto con mosto,sùgol,
dolciastro,dolsös,
dolere,dölër,
domani,domà,
domattina,domadematìna,
domiciliarsi,stansiàs,arcaico
dondolare,dindolà,
dondolare,segotà,
"dondolino, erba cornetta",granerì,botanica
"dondolino, erba cornetta",mailégor,botanica
"dondolino, erba cornetta",pa de péra,botanica
"dondoloni, barcollando",dindulù,
donna,fòmna,
donna che si scopre,mosùna,
donna di colore,morèta,
donna di facili costumi,pòrca,
donna piccola (vezz. Di),sifulìna,
"donna prepotente, cattiva",sbéra,
donna spettinata,sarpilùna,
donna spigolosa,gösmìna,
donnetta,fomnasìna,
donnetta,fomnèta,
donnola,bènola,zoologia
dopodomani,pasandomà,
dopopranzo,dopodisnàt,
doppio,dópe,
doppio mento,petéra,
"dorare, indorare",ëndorà,
dorata,dóra,
dorifora,verdorèla,insetto
dormiglione,dormintù,
dormiglione,sdormiù,arcaico
dormire,dórmër,
dormire,polegià,
dormire,slòfër,gergo-volgare
dorso,còsta del cortèl,
dosatore per polvere e pallini,müsürì,caccia
dove poggia l'arco,pedös,archittettura
dovere (andare a),copèla (nà a),
dovere (metterlo a),mitìl a copèla,
"dovere, obbligo",düzì,
dovuto,doìt,
dozzina,donzéna,
dragoncello,dragù,botanica
dragoncello,stragonsèl,botanica
"drappo funebre, coltre",stràt,
drappo ornamentale per chiese,sguasarù,
dritta,snìvia,Valsabbia
dritto,ën pé,
dritto,ëndrét,
dubbio,döbe,
"dubbioso, incerto",cagadöbe,
dulcamara,lègn dóls,botanica
dulcamara,pundurì néghër,botanica
dulcamara,söchër amàr,botanica
dulcamara,zücamàra,botanica
dunque,dónca,
duole,döl,
duomo,dòm,
duro,dür,
duro,stàgn,
durone,dürèl,
eccessiva salivazione,saliàs,
ecchimosi,bòta,
eccitare,fa ègnër le òje,
eccitarsi,nà 'n gaìna,
"edematoso, gonfio",bezénf,
edera,àgna,botanica
edera,algìna,botanica
edera,belvìrdo,botanica
edera,èrgna,botanica
edera,ghéghën,botanica
edera,lédena,botanica
edera,ligabósch,botanica
edera terrestre,èrba pülighìna,
edera terrestre,èrba terèstrë,
edredone,edredù,ornitologia
effeminato,fomnèla,
effetti di vergate sulle gambe,scorezöle,figurativo
effetto di un colpo di staffile,sardìna,figurativo
egoista,lùdro,
elabro bianco,falò,botanica
elabro bianco,stalàs,botanica
elastico,elàstich,
"elcio, leccio",èlës,botanica
elemosina,lemósna,
elemosinare,catà sö,
elicriso italico,sempitèrni,botanica
eliotropio,vanìlia selvàdega,botanica
elleboro fetido,campanòt,botanica
elleboro fetido,campürën bastàrd,botanica
elleboro fetido,èrba de bis,botanica
elleboro fetido,fiùr del luf,botanica
elleboro fetido,galinéra,botanica
elleboro fetido,raìs de bò,botanica
elleboro fetido,tosegù,botanica
emicrania,mal de có,malattia/male
emorroide,moréna,malattia/male
empio,èmpe,
endice,gnàl,
"enfiatura, pomfo",tòsola,
enteroclisma,cristére,
entrare,nà dènter,
entrare,nà déter,
epilessia,bröcc mài,malattia/male
epilessia,mal cadüch,malattia/male
epitaffio,patàfio,
epiteto di asino,saürì,arcaico
eppure,ëpör,
erba aralda,didàl,botanica
erba barbara,ravezöla,botanica
erba cipollina,èrba sigulìna,botanica
erba cipollina,santrìgola,botanica
erba cocchiara,coclearia,botanica
erba cornacchia o erismo medicinale,èrba falcùna,botanica
"erba crociona, uva di volpe",èrba parìs,
erba di S. Giovanni,fàa gràasa,botanica
erba di S. Giovanni,gréga,botanica
erba di S. Giovanni,màta,botanica
erba fittomane,maìgola,botanica
erba guada,miglionèl,botanica
erba laurina,èrba cagùna,
erba Livia (Achillea muschiata),danéda,botanica
erba Luisa (Melissa),èrba limonsìna,botanica
erba lunaria,èrba del mal de figàt,botanica
erba medica,èrba mèdega,botanica
erba medica,èrba spàgna,
erba montanella,verzöi,botanica
erba montanella,verzöi bastàrcc,botanica
erba morella,tòsëch,botanica
erba morella,èrb móra,botanica
erba muraiola,èrba màistra,botanica
erba muraiola,èrba lömàga,botanica
erba muraiola,èrba pàja,botanica
erba muraiola,èrba vedreöla,botanica
erba nocca,glotù selvadëch,botanica
erba peprina,èrba dei asès,
erba pignola,ris del diàol,botanica
"erba rena, imperatoria",brancosìne,botanica
"erba rena, imperatoria",ëmperatòria,botanica
erba rosa,èrba rösa,
erba rugginina,felezìne,botanica
erba rugginina,felezìne de mür,botanica
erba tora,ducato,
erba trinità,fegadèla,botanica
erba trinità,viöla del diàol,botanica
erba viperina,s'cèrgia selvàdega,botanica
erbanocca,campürën,botanica
erborista,ërbaröl,
eremita,romét,
erica,brüch,botanica
eringio ametistino,insalàta d'àsën viòla,botanica
eritrea,camédrios,
eritrea,èrba de la féër,
eritrea minore,pólvër sànta,botanica
"eritrea minore, a ombrello",marìna,botanica
"eritrea minore, a ombrello",èrba chìna,botanica
"eritrea minore, a ombrello",pilotì,botanica
ermafrodito,mèngol,
ermellino,armilì,zoologia
ernia,balù,malattia/male
erpete,merdasèca,micologia
erpete,volàdega,micologia
erpice,èrpech,
errante,ramèngh,
erta,ràta,
erta lieve,ratèla,
"erta, salita faticosa",tiracül,
esagerare,scoqiamdò,arcaico
esattamente,giôsta 'n pàca,
esattore,scödidùr,arcaico
esazione,scòsida,arcaico
esca,paìsa,arcaico
esca,paisèta,arcaico
esca,pastüra,pesce-pesca
"esclamazione, imprecazione",amadói,
"esclamazione, imprecazione",òstrega,
escremento di volatile,schigàsa,arcaico
escremento di volatile,schìta,
escrescenza cornea del cavallo,porfìch,
esempio,ësèmpe,
esente (essere),ésër scüs,
esile,minüdì,
esorbitare nel conto,calcà la pèna,
esperto,spèrt,
espettorare,sbaratàs,arcaico
espettorare,scarcajà,
espettorare,sgargajà,
espettorare,smargajà,
esporre,mètër föra,
"essere allegro, alticcio",ésër en cìmbali,figurativo
Essere alticci,Ésër en ciarìna,
essere creditore,vansà,
essere eleganti,nà 'n chìchera,scherzo
essere neutri,stàghën föra,
essere scoperti,fa pàla,
"est, oriente",vèrs matìna,
esterefatti (rimanere),restà trónch,
estimo,èstëm,arcaico
estirpare,caà sö,
estraniarsi,tös föra,
estrema unzione,òjo sànt,
estro,èla,
euforia del maritarsi,maridaröla,
eufrasia officinale,brüzafèr,botanica
eufrasia officinale,èrba öcìna,botanica
eufrasia officinale,öcc de galìna,botanica
eufrasia officinale,spàca öciài,botanica
eufrasia officinale,öciai dela Madona,botanica
eupatorio,cànef selvàdëch,botanica
eupatorio,ërbalègn,botanica
evacuarla,paìla,
"evidente, patente, chiarissimo",patòch,
evirare,sanà,
evirare i galli,capunà,
fa girare la testa,fa gnì ciòch,
fabbricante di frange,franzér,arcaico
fabbricante e venditore di ventagli,ventaér,arcaico
fabbricare,fa sö,
fabbro di chiavi,ciaì,arcaico
fabbro ferraio,frér,
faccenda,bodès,arcaico
faccende (in),en bodés,arcaico
faccendone,trabascù,
faccenduole,bizighì,
faccenduole,mistirulì,
faccia,céra,
faccia,fàcia,
faccia,mostàs,
faccia da schiaffi,fàcia de sbèrle,
faccia da schiaffi,tirapìgn,
faccia sporca,müs de 'ndöm,
faccia stanca,céra sbatìda,
"faccia, ceffo",löma,gergo-volgare
facciamo,fóm,
facciata,fasàda,
faccio,fò,
faccione,mostasù,
"faggina, frutto del faggio",fàza,
faggio,fào,botanica
faggio,fó,botanica
fagiano,fazà,ornitologia
fagiano,galinàsa de mónt,ornitologia
fagiano di monte,falìna de mónt,ornitologia
fagiano di monte,padrù,ornitologia
fagioli,bazàne,
fagioli ancor verdi,bazanòcc,
"fagiolini, cornetti",fazulì,
fagiolo,fazöl,botanica
fagotto,fagòt,
falaroppo,falaròp,ornitologia
falce,rànza,
falce del mietitore,fiòca,
falce messoria,misùra,
falcetto,fiochèl,
falcetto,ranzèt,
falciare,segà,
falciola con manico lungo,mesaröl col mànëch,
falciola corta per erba,mesaröl,bassa bresciana
falco cucolo,falchèt dalmpè rós,ornitologia
falco cucolo,falchitìfalchitù néghër,ornitologia
falco cucolo,gavinèl,ornitologia
falco pecchiaiolo,àgla,ornitologia
falco pecchiaiolo,falchetù,ornitologia
falco pecchiaiolo,pojamù,ornitologia
falco pescatore,falchitù d'àqua,ornitologia
falcone,fàlch,ornitologia
falcone,falchetù,ornitologia
falcone,falcù,ornitologia
falda,qûàcc de la marsìna,
falegname provetto,maringù de fì,
"falegname, carrettaio",maringù,
fallire,nà a mónt,
falso,fàls,
falso,mat,figurativo
falso pollome,majöl,botanica
"fama, nomea",dèta,
fame,bèrza,Valcamonica
fame,sgajùsa,
fame,sagradùna,arcaico
fame,segrezùna,gergo-volgare
fame trascurata,féër majùna,
famiglia,famìa,
famiglio poverissimo,famèi de fagòt,
famiglio poverissimo,gabì,arcaico
"famiglio, garzone",famèi,
"famiglio, garzone",macìl,
famigliola gialla,ciodèi zàlcc,micologia
fanatico,scalmanàt,
fanatico,sfegatàt,
fandonia,bàla,
fanello,fanèl,ornitologia
fanello,fanèl de cànëf,ornitologia
fanello,montanèl,ornitologia
fanello nordico,fanilì d'invèrno,ornitologia
fanello nordico,prusianì,ornitologia
fanfarone,strambài,arcaico
"fanfarone, contafrottole",baüsù,
"fanfarone, contafrottole",fanfarù,
fanghiglia,fanghéra,
fanghiglia,pàcera,
fanghiglia,oacerèla,
fanghiglia,paciüch,
fanghiglia,pàlcia,arcaico
fanghiglia,pàlta,
fannullone,balàndër,
fannullone,fanegót,
fannullone,giràndola,
fannullone,lirù,
fannullone,lisnù,
fannullone,sbrendulù,
fannullone,scorlandù,
fannullone,terlindù,
far desiderare,fatirà le góle,
fare il raccolto,regòër,
"fare inchiesta, domandare",ënterquirì,arcaico
fare la spia,fa la simùna,gergo-volgare
fare penitenza,pagà 'l fìo,
fare smorfie di pianto,fa casöl,
fare un blocco,fa 'n bòt,
farfalla,ìride,insetto
farfalla tozza,barbèla,
farfallone,farfalù,
farfallone,faù,arcaico
farfaraccio,capelót,botanica
farfaraccio,dròga,botanica
farfaraccio,farfàra,botanica
farfaraccio,fàrfera,botanica
farfaraccio,rédol picinì,botanica
farfaraccio,rìdoi,botanica
farfugliare,ënfarfojà,
farfugliare,sfarfojà,
farfugliarsi,ëntartajàs,
farina di castagne,schélt,arcaico
farina di grano saraceno,fràina,
"farina fossile (roccia silica friabile, utilizzata per pulire gli ottoni)",trépol,
farina infima di frumento,redondèl,bassa bresciana
farinaccio selvatico,farinèle,botanica
farinaia,àrca,arcaico
"farinello, tritello (crusca minuta che si dà come beverone a vitelli, mucche, cavalli e maiali)",cröschèl,
farmacia,spesierìa,
farmacista,spesiér,
farsetto di lana,trecotè,francesismo
fasce,fàse,
fascia di legno per la cagliata,faséra,
fasciata,fasàda,
fascina,fasìna,
fascina di bastoni,lègna gròsa,
fascina di legna mista,lègna 'mbastunàda,
