ITA,BS,CATEGORY
Affrettare,Pesegà,
Affrontare,Fàga frónt,
Afoni,Ìga zó la ùs,
Afta epizootica,Supìna,
Agarici vinato,Castagnér rós,micologia
Agarico,Sanguanì,micologia
Agave,Àloë,botanica
Agave,Tasìna,botanica
Agganciarsi,Tacà dèntër,
Aggeggi,Argàgn,
Aggeggi,Trapèi,
Aggeggi,Patüèi,arcaico
Aggeggio malsicuro,Trabàcol,
Aggiungere,Zontà,
Aggiungere,Zontàga,
Aggiunta,Riciuchì,
Aggiunta,Zónta,
Aggredisce,Bór,
Agguato,Balzèl,arcaico
Aghi da calza,Ùce,
Agio,Àze,
Aglio,Ài,botanica
Aglio bianco,Bìgol d'ài,botanica
Aglio selvatico,Ài de fòs,botanica
Aglio selvatico,Ài selvàdëch,botanica
Aglio selvatico,Ài ursì,botanica
Agnellino,Bosarì,
Agnellino,Berì,
Agnello castrato,Castrù,
Agnello Grasso,Ris gràs,botanica
Ago,Ùcia,
Agone,Agù,pesce-pesca
Agone,Sardèla,pesce-pesca
Agonia,Tirà j-öltëm,
Agoraio (porta aghi),Uciaröl,
Agostano,Ostà,
Agostano,Òstanèl,
Agrifoglio,Scamfòi,botanica
Agrifoglio,Pamfòi,botanica
Agrifoglio,sgiónfoi,botanica
Agrifoglio,Vìrdo,botanica
Agrimonia,Botànega,botanica
Agrimonia,Èrba manzunéra,botanica
Agrimonia,Èrba de la sfogasiù,botanica
Agrimonia,Èrba del calùr,botanica
Agro,Àghër,
Agro,Garb,arcaico
Agrostide stolonifera,Èrba tremarìna,botanica
Agrostide stolonifera,Tremarì,botanica
"Agucchiare, lavorare a maglia",Ucìa,
Aguzzare,Gösà,
Aguzzo,Gös,
Aguzzo,Grömér,
Aia,Éra,
Ailanto,Leàntus,botanica
Airone,Airù,ornitologia
Airone,Ardèa,ornitologia
Airone,Segàgn,ornitologia
Airone cenerino,Póla selvàdega,ornitologia
Aiutare,Aidà,
Aiutare,Ötà,
Aiutare,Vötà,
Alare,Bordonàl,arcaico
Alare,brondonàl,arcaico
Alba,Albùr,
Alba,Lèa 'l sul,
Albanella,Falchitù de làma,ornitologia
Albanella di palude,Falchèt de campàgna,ornitologia
Albanella minore,Falchèt de làgh,ornitologia
Albanella reale,Falchèt rós,ornitologia
Albanella reale,Molinér,
Albatico,Albamàt,arcaico
Alberello,Albarèl,
Albero di Giuda,Guainòt,botanica
Albicocca,Ambrognàga,
Albicocca,Romignàga,arcaico
Alborella,Àola,pesce-pesca
Albume,Ciàra,
Albume,Ciàra d'öv,
Alchechengi,Baline róse,botanica
Alchechengi,Pa  de cùco,botanica
Alchechengi,Balunsì,botanica
